package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
3net.js-0.2.4,NPM,5.101039461944573,4.72540374486543,0,0,0,0,0
4search-0.0.1,NPM,5.413635352151674,4.760082855088885,0,0,0,0,0
a-driver.js-0.9.8-shadowdom2,NPM,5.419900910369417,4.773956675900789,0,0,0,0,0
a-frame-router-templates-0.0.4,NPM,7.943875530456836,5.432943061937818,0,0,0,0,0
acc-calc-1.0.2,NPM,5.479960080530304,4.9191223745681505,0,0,0,0,0
accordianjs-1.0.9,NPM,5.147979104003194,4.862445579375869,0,0,0,0,0
address-cream-0.1.2,NPM,6.137887808172231,5.264901683059132,0,0,0,0,0
adlez-0.0.1,NPM,5.653702118485755,4.535226345893536,0,0,0,0,0
advanced-elo.calculator-0.1.4,NPM,5.112351714251676,4.8488606555355105,0,0,0,0,0
aframe-colorwheel-component-1.2.1,NPM,7.996647290371271,5.380529939505818,0,1,0,0,0
aframe-gaussian-splatting-component-0.0.19,NPM,5.486537420516703,5.043736153795359,0,0,0,0,0
aframe-haptics-component-1.6.3,NPM,5.31751735387468,4.943546324836911,0,0,0,0,0
aframe-xr-room-physics-0.0.1,NPM,7.986346513266135,5.501528704045387,9,5,0,0,0
aggregation-1.0.3,NPM,7.873272063154847,5.513861894371944,0,0,0,0,0
agk-soundobject-0.0.0,NPM,7.979449683304692,5.983493616641461,0,0,0,0,0
akyos-animation-1.1.19,NPM,5.391461526738152,5.007109178664347,0,0,0,0,0
alchemist-js-2.0.0,NPM,5.9327588508302265,4.677949788769911,0,0,0,0,0
altizure-plugin-geojson-0.1.2,NPM,5.257467429138972,5.056881289360548,0,0,0,0,0
analytics-scroll-depth-0.2.0,NPM,5.107205289168051,4.593720227135923,0,0,0,0,0
anchor-menu-cmp-2.0.4,NPM,5.255429090827149,4.605937259506677,0,0,0,0,0
angles-0.4.1,NPM,5.454006144584797,4.848351063236539,0,0,0,0,0
angular-color-interpolator-1.0.0,NPM,5.400776158384966,4.7105997198506495,0,0,0,0,0
angular-helper-0.3.6,NPM,4.94273982716515,4.482431242477604,0,0,0,0,0
anim8js-1.1.12,NPM,5.255943359030534,4.796701492358335,0,0,0,0,0
anki-4.3.5,NPM,5.359450659982126,4.912074448016895,0,0,0,0,0
annotation-toolkit-1.1.1,NPM,5.5843581735912355,4.702414802012851,0,0,0,0,0
anticaptchaofficial-1.0.51,NPM,5.155831854081138,4.769073421923417,0,0,0,0,0
aog-widget-1.0.17,NPM,5.018329436277057,4.682025006581053,0,0,0,0,0
api-client-0.10.3,NPM,6.046915936632388,5.113956952138078,0,0,0,0,0
api-tool-sdk-0.0.4,NPM,5.529778104449251,4.869790606370389,0,0,0,0,0
apify-google-auth-0.6.0,NPM,5.926396282715131,4.757470911482865,0,0,0,0,0
apostrophe-rss-0.5.20,NPM,5.071374276129434,4.416242286664578,0,0,0,0,0
apostrophe-sections-0.5.5,NPM,4.7228657032197905,4.636221570501396,0,0,0,0,0
apostrophe-update-forms-0.5.8,NPM,4.889148602220303,4.728782660729738,0,0,0,0,0
app-binary-1.0.4,NPM,5.006784935699396,4.360600286899252,2,0,0,0,0
appman-0.2.0,NPM,4.969730637694379,3.9136186336853083,0,20,0,0,0
appy-0.6.0,NPM,7.882623174336864,5.383077074758219,0,0,0,0,0
aramex-api-1.0.4,NPM,5.149679502711913,4.8235659793236225,0,0,0,0,0
arc-qrcode-2.5.3,NPM,4.960824674009177,3.9524755480574925,0,0,0,0,0
asd_miniprogram-elder-transform-0.0.3,NPM,6.18261226317795,5.089073388273508,0,0,0,0,0
asJam-0.1.6,NPM,7.985438427777732,4.847355910482799,1,0,0,0,0
assert-is-unity-probability-array-0.2.2,NPM,5.335873177789341,4.888684767854789,0,0,0,0,0
assets-1.2.0,NPM,5.35385780378065,4.747943439802994,0,0,0,0,0
astra-0.2.9,NPM,5.26747777112776,4.657795256946502,0,0,0,0,0
astro-magneto-1.0.0,NPM,5.1651746908467,4.749910719677919,0,0,0,0,0
